selector,group,representation_ratio,kept_count,pool_count
ifd,0,2.2,55.0,500
ifd,1,5.961,149.0,500
ifd,2,2.801,70.0,500
ifd,3,3.146,67.0,426
ifd,4,0.76,18.0,474
ifd,5,0.434,183.0,8442
perplexity-high,0,5.481,137.0,500
perplexity-high,1,5.361,134.0,500
perplexity-high,2,9.362,234.0,500
perplexity-high,3,0.141,3.0,426
perplexity-high,4,0.127,3.0,474
perplexity-high,5,0.073,31.0,8442
perplexity-low,0,0.84,21.0,500
perplexity-low,1,0.08,2.0,500
perplexity-low,2,0.2,5.0,500
perplexity-low,3,0.0,0.0,426
perplexity-low,4,0.169,4.0,474
perplexity-low,5,1.208,510.0,8442
perplexity-mid,0,0.24,6.0,500
perplexity-mid,1,3.001,75.0,500
perplexity-mid,2,0.0,0.0,500
perplexity-mid,3,2.207,47.0,426
perplexity-mid,4,1.013,24.0,474
perplexity-mid,5,0.924,390.0,8442
quality,0,0.76,19.0,500
quality,1,0.0,0.0,500
quality,2,0.28,7.0,500
quality,3,0.517,11.0,426
quality,4,1.35,32.0,474
quality,5,1.121,473.0,8442
random,0,1.054,26.7,500
random,1,1.337,34.0,500
random,2,0.977,24.7,500
random,3,0.865,18.7,426
random,4,1.001,24.0,474
random,5,0.985,421.0,8442
rdsplus,0,0.88,22.0,500
rdsplus,1,0.0,0.0,500
rdsplus,2,0.16,4.0,500
rdsplus,3,3.146,67.0,426
rdsplus,4,0.38,9.0,474
rdsplus,5,1.043,440.0,8442
semdedup,0,0.96,24.0,500
semdedup,1,0.08,2.0,500
semdedup,2,0.32,8.0,500
semdedup,3,0.704,15.0,426
semdedup,4,3.503,83.0,474
semdedup,5,0.972,410.0,8442
