selector,group,representation_ratio,kept_count,pool_count
ifd,chat,1.026,628.0,1224
ifd,code,1.045,784.0,1501
ifd,general,0.064,31.0,974
ifd,instruction_following,0.892,132.0,296
ifd,math,1.462,2554.0,3494
ifd,multilingual,0.915,913.0,1995
ifd,other,0.071,2.0,56
ifd,safety,0.632,376.0,1190
ifd,science,0.018,1.0,112
perplexity-high,chat,1.658,1015.0,1224
perplexity-high,code,0.626,470.0,1501
perplexity-high,general,1.378,671.0,974
perplexity-high,instruction_following,1.743,258.0,296
perplexity-high,math,0.014,25.0,3494
perplexity-high,multilingual,1.73,1726.0,1995
perplexity-high,other,1.393,39.0,56
perplexity-high,safety,1.861,1107.0,1190
perplexity-high,science,1.964,110.0,112
perplexity-low,chat,0.342,209.0,1224
perplexity-low,code,1.374,1031.0,1501
perplexity-low,general,0.622,303.0,974
perplexity-low,instruction_following,0.257,38.0,296
perplexity-low,math,1.986,3469.0,3494
perplexity-low,multilingual,0.27,269.0,1995
perplexity-low,other,0.607,17.0,56
perplexity-low,safety,0.139,83.0,1190
perplexity-low,science,0.036,2.0,112
perplexity-mid,chat,1.154,706.0,1224
perplexity-mid,code,1.647,1236.0,1501
perplexity-mid,general,1.308,637.0,974
perplexity-mid,instruction_following,1.534,227.0,296
perplexity-mid,math,0.614,1073.0,3494
perplexity-mid,multilingual,0.665,663.0,1995
perplexity-mid,other,1.536,43.0,56
perplexity-mid,safety,1.316,783.0,1190
perplexity-mid,science,0.946,53.0,112
quality,chat,1.064,651.0,1224
quality,code,1.418,1064.0,1501
quality,general,0.745,363.0,974
quality,instruction_following,1.507,223.0,296
quality,math,1.247,2178.0,3494
quality,multilingual,0.478,477.0,1995
quality,other,0.893,25.0,56
quality,safety,0.701,417.0,1190
quality,science,0.411,23.0,112
random,chat,1.007,617.7,1224
random,code,0.994,748.0,1501
random,general,0.961,469.3,974
random,instruction_following,1.013,150.3,296
random,math,0.995,1742.7,3494
random,multilingual,1.027,1027.0,1995
random,other,0.998,28.0,56
random,safety,0.992,591.7,1190
random,science,1.063,59.7,112
rdsplus,chat,0.457,280.0,1224
rdsplus,code,0.559,420.0,1501
rdsplus,general,0.794,387.0,974
rdsplus,instruction_following,0.223,33.0,296
rdsplus,math,1.565,2738.0,3494
rdsplus,multilingual,1.471,1469.0,1995
rdsplus,other,0.571,16.0,56
rdsplus,safety,0.141,84.0,1190
rdsplus,science,0.018,1.0,112
semdedup,chat,1.511,925.0,1224
semdedup,code,1.4,1051.0,1501
semdedup,general,1.515,738.0,974
semdedup,instruction_following,1.986,294.0,296
semdedup,math,0.434,758.0,3494
semdedup,multilingual,0.391,390.0,1995
semdedup,other,1.536,43.0,56
semdedup,safety,1.871,1113.0,1190
semdedup,science,1.946,109.0,112
