selector,axis,group,budget,representation_ratio,kept_count,pool_count,n_seeds
ifd,resource_tier,0,0.01,1.405,7.0,500,1
ifd,resource_tier,0,0.05,2.2,55.0,500,1
ifd,resource_tier,0,0.1,1.98,99.0,500,1
ifd,resource_tier,0,0.25,1.432,179.0,500,1
ifd,resource_tier,0,0.5,1.108,277.0,500,1
ifd,resource_tier,1,0.01,11.846,59.0,500,1
ifd,resource_tier,1,0.05,5.961,149.0,500,1
ifd,resource_tier,1,0.1,3.661,183.0,500,1
ifd,resource_tier,1,0.25,1.992,249.0,500,1
ifd,resource_tier,1,0.5,1.244,311.0,500,1
ifd,resource_tier,2,0.01,0.803,4.0,500,1
ifd,resource_tier,2,0.05,2.801,70.0,500,1
ifd,resource_tier,2,0.1,2.04,102.0,500,1
ifd,resource_tier,2,0.25,1.232,154.0,500,1
ifd,resource_tier,2,0.5,0.844,211.0,500,1
ifd,resource_tier,3,0.01,3.77,16.0,426,1
ifd,resource_tier,3,0.05,3.146,67.0,426,1
ifd,resource_tier,3,0.1,2.324,99.0,426,1
ifd,resource_tier,3,0.25,1.334,142.0,426,1
ifd,resource_tier,3,0.5,0.883,188.0,426,1
ifd,resource_tier,4,0.01,0.212,1.0,474,1
ifd,resource_tier,4,0.05,0.76,18.0,474,1
ifd,resource_tier,4,0.1,0.907,43.0,474,1
ifd,resource_tier,4,0.25,0.802,95.0,474,1
ifd,resource_tier,4,0.5,0.759,180.0,474,1
ifd,resource_tier,5,0.01,0.25,21.0,8442,1
ifd,resource_tier,5,0.05,0.434,183.0,8442,1
ifd,resource_tier,5,0.1,0.661,558.0,8442,1
ifd,resource_tier,5,0.25,0.896,1891.0,8442,1
ifd,resource_tier,5,0.5,1.008,4254.0,8442,1
perplexity-high,resource_tier,0,0.01,3.212,16.0,500,1
perplexity-high,resource_tier,0,0.05,5.481,137.0,500,1
perplexity-high,resource_tier,0,0.1,4.841,242.0,500,1
perplexity-high,resource_tier,0,0.25,2.392,299.0,500,1
perplexity-high,resource_tier,0,0.5,1.572,393.0,500,1
perplexity-high,resource_tier,1,0.01,12.448,62.0,500,1
perplexity-high,resource_tier,1,0.05,5.361,134.0,500,1
perplexity-high,resource_tier,1,0.1,3.321,166.0,500,1
perplexity-high,resource_tier,1,0.25,1.776,222.0,500,1
perplexity-high,resource_tier,1,0.5,1.608,402.0,500,1
perplexity-high,resource_tier,2,0.01,6.023,30.0,500,1
perplexity-high,resource_tier,2,0.05,9.362,234.0,500,1
perplexity-high,resource_tier,2,0.1,7.921,396.0,500,1
perplexity-high,resource_tier,2,0.25,3.817,477.0,500,1
perplexity-high,resource_tier,2,0.5,1.924,481.0,500,1
perplexity-high,resource_tier,3,0.01,0.0,0.0,426,1
perplexity-high,resource_tier,3,0.05,0.141,3.0,426,1
perplexity-high,resource_tier,3,0.1,0.704,30.0,426,1
perplexity-high,resource_tier,3,0.25,0.958,102.0,426,1
perplexity-high,resource_tier,3,0.5,1.16,247.0,426,1
perplexity-high,resource_tier,4,0.01,0.0,0.0,474,1
perplexity-high,resource_tier,4,0.05,0.127,3.0,474,1
perplexity-high,resource_tier,4,0.1,1.224,58.0,474,1
perplexity-high,resource_tier,4,0.25,1.916,227.0,474,1
perplexity-high,resource_tier,4,0.5,1.595,378.0,474,1
perplexity-high,resource_tier,5,0.01,0.0,0.0,8442,1
perplexity-high,resource_tier,5,0.05,0.073,31.0,8442,1
perplexity-high,resource_tier,5,0.1,0.227,192.0,8442,1
perplexity-high,resource_tier,5,0.25,0.655,1383.0,8442,1
perplexity-high,resource_tier,5,0.5,0.834,3520.0,8442,1
perplexity-low,resource_tier,0,0.01,0.803,4.0,500,1
perplexity-low,resource_tier,0,0.05,0.84,21.0,500,1
perplexity-low,resource_tier,0,0.1,0.76,38.0,500,1
perplexity-low,resource_tier,0,0.25,0.48,60.0,500,1
perplexity-low,resource_tier,0,0.5,0.428,107.0,500,1
perplexity-low,resource_tier,1,0.01,0.201,1.0,500,1
perplexity-low,resource_tier,1,0.05,0.08,2.0,500,1
perplexity-low,resource_tier,1,0.1,0.14,7.0,500,1
perplexity-low,resource_tier,1,0.25,0.064,8.0,500,1
perplexity-low,resource_tier,1,0.5,0.392,98.0,500,1
perplexity-low,resource_tier,2,0.01,0.602,3.0,500,1
perplexity-low,resource_tier,2,0.05,0.2,5.0,500,1
perplexity-low,resource_tier,2,0.1,0.14,7.0,500,1
perplexity-low,resource_tier,2,0.25,0.096,12.0,500,1
perplexity-low,resource_tier,2,0.5,0.076,19.0,500,1
perplexity-low,resource_tier,3,0.01,0.0,0.0,426,1
perplexity-low,resource_tier,3,0.05,0.0,0.0,426,1
perplexity-low,resource_tier,3,0.1,0.023,1.0,426,1
perplexity-low,resource_tier,3,0.25,0.094,10.0,426,1
perplexity-low,resource_tier,3,0.5,0.84,179.0,426,1
perplexity-low,resource_tier,4,0.01,0.212,1.0,474,1
perplexity-low,resource_tier,4,0.05,0.169,4.0,474,1
perplexity-low,resource_tier,4,0.1,0.169,8.0,474,1
perplexity-low,resource_tier,4,0.25,0.203,24.0,474,1
perplexity-low,resource_tier,4,0.5,0.405,96.0,474,1
perplexity-low,resource_tier,5,0.01,1.177,99.0,8442,1
perplexity-low,resource_tier,5,0.05,1.208,510.0,8442,1
perplexity-low,resource_tier,5,0.1,1.212,1023.0,8442,1
perplexity-low,resource_tier,5,0.25,1.23,2596.0,8442,1
perplexity-low,resource_tier,5,0.5,1.166,4922.0,8442,1
perplexity-mid,resource_tier,0,0.01,0.602,3.0,500,1
perplexity-mid,resource_tier,0,0.05,0.24,6.0,500,1
perplexity-mid,resource_tier,0,0.1,0.32,16.0,500,1
perplexity-mid,resource_tier,0,0.25,0.512,64.0,500,1
perplexity-mid,resource_tier,0,0.5,0.564,141.0,500,1
perplexity-mid,resource_tier,1,0.01,3.413,17.0,500,1
perplexity-mid,resource_tier,1,0.05,3.001,75.0,500,1
perplexity-mid,resource_tier,1,0.1,2.5,125.0,500,1
perplexity-mid,resource_tier,1,0.25,1.68,210.0,500,1
perplexity-mid,resource_tier,1,0.5,1.08,270.0,500,1
perplexity-mid,resource_tier,2,0.01,0.0,0.0,500,1
perplexity-mid,resource_tier,2,0.05,0.0,0.0,500,1
perplexity-mid,resource_tier,2,0.1,0.0,0.0,500,1
perplexity-mid,resource_tier,2,0.25,0.0,0.0,500,1
perplexity-mid,resource_tier,2,0.5,0.044,11.0,500,1
perplexity-mid,resource_tier,3,0.01,3.064,13.0,426,1
perplexity-mid,resource_tier,3,0.05,2.207,47.0,426,1
perplexity-mid,resource_tier,3,0.1,2.301,98.0,426,1
perplexity-mid,resource_tier,3,0.25,2.094,223.0,426,1
perplexity-mid,resource_tier,3,0.5,1.474,314.0,426,1
perplexity-mid,resource_tier,4,0.01,1.483,7.0,474,1
perplexity-mid,resource_tier,4,0.05,1.013,24.0,474,1
perplexity-mid,resource_tier,4,0.1,1.055,50.0,474,1
perplexity-mid,resource_tier,4,0.25,1.063,126.0,474,1
perplexity-mid,resource_tier,4,0.5,0.941,223.0,474,1
perplexity-mid,resource_tier,5,0.01,0.809,68.0,8442,1
perplexity-mid,resource_tier,5,0.05,0.924,390.0,8442,1
perplexity-mid,resource_tier,5,0.1,0.942,795.0,8442,1
perplexity-mid,resource_tier,5,0.25,0.989,2087.0,8442,1
perplexity-mid,resource_tier,5,0.5,1.057,4462.0,8442,1
quality,resource_tier,0,0.01,0.803,4.0,500,1
quality,resource_tier,0,0.05,0.76,19.0,500,1
quality,resource_tier,0,0.1,0.74,37.0,500,1
quality,resource_tier,0,0.25,0.56,70.0,500,1
quality,resource_tier,0,0.5,0.568,142.0,500,1
quality,resource_tier,1,0.01,0.0,0.0,500,1
quality,resource_tier,1,0.05,0.0,0.0,500,1
quality,resource_tier,1,0.1,0.04,2.0,500,1
quality,resource_tier,1,0.25,0.048,6.0,500,1
quality,resource_tier,1,0.5,0.1,25.0,500,1
quality,resource_tier,2,0.01,0.201,1.0,500,1
quality,resource_tier,2,0.05,0.28,7.0,500,1
quality,resource_tier,2,0.1,0.22,11.0,500,1
quality,resource_tier,2,0.25,0.208,26.0,500,1
quality,resource_tier,2,0.5,0.372,93.0,500,1
quality,resource_tier,3,0.01,0.236,1.0,426,1
quality,resource_tier,3,0.05,0.517,11.0,426,1
quality,resource_tier,3,0.1,0.563,24.0,426,1
quality,resource_tier,3,0.25,0.686,73.0,426,1
quality,resource_tier,3,0.5,0.746,159.0,426,1
quality,resource_tier,4,0.01,1.694,8.0,474,1
quality,resource_tier,4,0.05,1.35,32.0,474,1
quality,resource_tier,4,0.1,1.245,59.0,474,1
quality,resource_tier,4,0.25,0.996,118.0,474,1
quality,resource_tier,4,0.5,1.055,250.0,474,1
quality,resource_tier,5,0.01,1.118,94.0,8442,1
quality,resource_tier,5,0.05,1.121,473.0,8442,1
quality,resource_tier,5,0.1,1.127,951.0,8442,1
quality,resource_tier,5,0.25,1.145,2417.0,8442,1
quality,resource_tier,5,0.5,1.126,4752.0,8442,1
random,resource_tier,0,0.01,0.602,3.0,500,3
random,resource_tier,0,0.05,1.054,26.7,500,3
random,resource_tier,0,0.1,0.995,50.7,500,3
random,resource_tier,0,0.25,0.98,123.3,500,3
random,resource_tier,0,0.5,0.998,250.0,500,3
random,resource_tier,1,0.01,0.87,4.3,500,3
random,resource_tier,1,0.05,1.337,34.0,500,3
random,resource_tier,1,0.1,1.433,73.0,500,3
random,resource_tier,1,0.25,1.208,152.0,500,3
random,resource_tier,1,0.5,1.065,267.0,500,3
random,resource_tier,2,0.01,1.138,5.7,500,3
random,resource_tier,2,0.05,0.977,24.7,500,3
random,resource_tier,2,0.1,0.962,49.0,500,3
random,resource_tier,2,0.25,1.028,129.3,500,3
random,resource_tier,2,0.5,1.04,260.7,500,3
random,resource_tier,3,0.01,1.1,4.7,426,3
random,resource_tier,3,0.05,0.865,18.7,426,3
random,resource_tier,3,0.1,0.906,39.3,426,3
random,resource_tier,3,0.25,0.957,102.7,426,3
random,resource_tier,3,0.5,0.982,209.7,426,3
random,resource_tier,4,0.01,0.847,4.0,474,3
random,resource_tier,4,0.05,1.001,24.0,474,3
random,resource_tier,4,0.1,1.015,49.0,474,3
random,resource_tier,4,0.25,1.031,123.0,474,3
random,resource_tier,4,0.5,1.02,242.3,474,3
random,resource_tier,5,0.01,1.027,86.3,8442,3
random,resource_tier,5,0.05,0.985,421.0,8442,3
random,resource_tier,5,0.1,0.981,843.3,8442,3
random,resource_tier,5,0.25,0.988,2098.7,8442,3
random,resource_tier,5,0.5,0.994,4204.7,8442,3
rdsplus,resource_tier,0,0.01,0.602,3.0,500,1
rdsplus,resource_tier,0,0.05,0.88,22.0,500,1
rdsplus,resource_tier,0,0.1,1.16,58.0,500,1
rdsplus,resource_tier,0,0.25,0.776,97.0,500,1
rdsplus,resource_tier,0,0.5,1.194,299.0,500,1
rdsplus,resource_tier,1,0.01,0.0,0.0,500,1
rdsplus,resource_tier,1,0.05,0.0,0.0,500,1
rdsplus,resource_tier,1,0.1,0.0,0.0,500,1
rdsplus,resource_tier,1,0.25,0.032,4.0,500,1
rdsplus,resource_tier,1,0.5,1.514,379.0,500,1
rdsplus,resource_tier,2,0.01,0.201,1.0,500,1
rdsplus,resource_tier,2,0.05,0.16,4.0,500,1
rdsplus,resource_tier,2,0.1,0.08,4.0,500,1
rdsplus,resource_tier,2,0.25,1.112,139.0,500,1
rdsplus,resource_tier,2,0.5,1.798,450.0,500,1
rdsplus,resource_tier,3,0.01,5.184,22.0,426,1
rdsplus,resource_tier,3,0.05,3.146,67.0,426,1
rdsplus,resource_tier,3,0.1,2.324,99.0,426,1
rdsplus,resource_tier,3,0.25,2.32,247.0,426,1
rdsplus,resource_tier,3,0.5,1.66,354.0,426,1
rdsplus,resource_tier,4,0.01,0.0,0.0,474,1
rdsplus,resource_tier,4,0.05,0.38,9.0,474,1
rdsplus,resource_tier,4,0.1,0.95,45.0,474,1
rdsplus,resource_tier,4,0.25,1.325,157.0,474,1
rdsplus,resource_tier,4,0.5,0.847,201.0,474,1
rdsplus,resource_tier,5,0.01,0.975,82.0,8442,1
rdsplus,resource_tier,5,0.05,1.043,440.0,8442,1
rdsplus,resource_tier,5,0.1,1.04,878.0,8442,1
rdsplus,resource_tier,5,0.25,0.979,2066.0,8442,1
rdsplus,resource_tier,5,0.5,0.886,3745.0,8442,1
semdedup,resource_tier,0,0.01,0.803,4.0,500,1
semdedup,resource_tier,0,0.05,0.96,24.0,500,1
semdedup,resource_tier,0,0.1,0.84,42.0,500,1
semdedup,resource_tier,0,0.25,0.808,101.0,500,1
semdedup,resource_tier,0,0.5,0.68,170.0,500,1
semdedup,resource_tier,0,0.6394,0.698,223.0,500,1
semdedup,resource_tier,1,0.01,0.201,1.0,500,1
semdedup,resource_tier,1,0.05,0.08,2.0,500,1
semdedup,resource_tier,1,0.1,0.1,5.0,500,1
semdedup,resource_tier,1,0.25,0.128,16.0,500,1
semdedup,resource_tier,1,0.5,0.136,34.0,500,1
semdedup,resource_tier,1,0.6394,0.222,71.0,500,1
semdedup,resource_tier,2,0.01,0.402,2.0,500,1
semdedup,resource_tier,2,0.05,0.32,8.0,500,1
semdedup,resource_tier,2,0.1,0.26,13.0,500,1
semdedup,resource_tier,2,0.25,0.272,34.0,500,1
semdedup,resource_tier,2,0.5,0.312,78.0,500,1
semdedup,resource_tier,2,0.6394,0.353,113.0,500,1
semdedup,resource_tier,3,0.01,1.178,5.0,426,1
semdedup,resource_tier,3,0.05,0.704,15.0,426,1
semdedup,resource_tier,3,0.1,0.657,28.0,426,1
semdedup,resource_tier,3,0.25,0.488,52.0,426,1
semdedup,resource_tier,3,0.5,0.376,80.0,426,1
semdedup,resource_tier,3,0.6394,0.367,100.0,426,1
semdedup,resource_tier,4,0.01,9.319,44.0,474,1
semdedup,resource_tier,4,0.05,3.503,83.0,474,1
semdedup,resource_tier,4,0.1,2.131,101.0,474,1
semdedup,resource_tier,4,0.25,1.215,144.0,474,1
semdedup,resource_tier,4,0.5,1.008,239.0,474,1
semdedup,resource_tier,4,0.6394,1.026,311.0,474,1
semdedup,resource_tier,5,0.01,0.618,52.0,8442,1
semdedup,resource_tier,5,0.05,0.972,410.0,8442,1
semdedup,resource_tier,5,0.1,1.06,895.0,8442,1
semdedup,resource_tier,5,0.25,1.12,2363.0,8442,1
semdedup,resource_tier,5,0.5,1.142,4820.0,8442,1
semdedup,resource_tier,5,0.6394,1.133,6114.0,8442,1
ifd,skill,chat,0.01,0.246,3.0,1224,1
ifd,skill,chat,0.05,0.735,45.0,1224,1
ifd,skill,chat,0.1,1.128,138.0,1224,1
ifd,skill,chat,0.25,1.167,357.0,1224,1
ifd,skill,chat,0.5,1.026,628.0,1224,1
ifd,skill,code,0.01,0.0,0.0,1501,1
ifd,skill,code,0.05,0.133,10.0,1501,1
ifd,skill,code,0.1,0.327,49.0,1501,1
ifd,skill,code,0.25,0.653,245.0,1501,1
ifd,skill,code,0.5,1.045,784.0,1501,1
ifd,skill,general,0.01,0.103,1.0,974,1
ifd,skill,general,0.05,0.123,6.0,974,1
ifd,skill,general,0.1,0.082,8.0,974,1
ifd,skill,general,0.25,0.074,18.0,974,1
ifd,skill,general,0.5,0.064,31.0,974,1
ifd,skill,instruction_following,0.01,0.339,1.0,296,1
ifd,skill,instruction_following,0.05,0.405,6.0,296,1
ifd,skill,instruction_following,0.1,0.473,14.0,296,1
ifd,skill,instruction_following,0.25,0.635,47.0,296,1
ifd,skill,instruction_following,0.5,0.892,132.0,296,1
ifd,skill,math,0.01,0.029,1.0,3494,1
ifd,skill,math,0.05,0.521,91.0,3494,1
ifd,skill,math,0.1,0.933,326.0,3494,1
