selector,budget,heldout_ppl,ppl_sd,seeds,chrf_eng_to_xx,chrf_xx_to_eng,belebele,mmlu
base,0.0,39.31,0.0,1,17.13,47.48,0.392,0.625
full,1.0,28.17,0.0,1,33.71,50.38,0.447,
random,0.1,27.94,0.01,3,30.78,50.18,0.422,
perplexity-low,0.1,37.31,0.72,3,30.09,50.07,0.397,
perplexity-high,0.1,29.18,0.0,1,7.83,21.15,0.237,
quality,0.1,35.01,0.0,1,32.47,51.17,0.432,
random,0.25,27.58,0.09,3,32.21,50.66,0.454,
perplexity-low,0.25,35.23,0.64,3,32.11,50.55,0.475,
perplexity-high,0.25,26.34,0.0,1,27.94,49.51,0.33,
quality,0.25,30.12,0.0,1,33.2,51.46,0.471,
