benchmark,selector,purpose,floor,mean,sd,n
humaneval,base,base,base,0.348,0.0,1
humaneval,perplexity-high,code,absolute,0.268,0.026,3
humaneval,perplexity-high,code,proportional,0.341,0.01,3
humaneval,perplexity-high,none,none,0.226,0.017,3
humaneval,perplexity-high,safety,absolute,0.161,0.042,3
humaneval,perplexity-high,safety,proportional,0.341,0.005,3
humaneval,perplexity-low,code,absolute,0.36,0.03,3
humaneval,perplexity-low,code,proportional,0.366,0.018,3
humaneval,perplexity-low,none,none,0.329,0.044,3
humaneval,perplexity-low,safety,absolute,0.333,0.01,3
humaneval,perplexity-low,safety,proportional,0.376,0.019,3
humaneval,semdedup,code,absolute,0.362,0.006,3
humaneval,semdedup,code,proportional,0.362,0.013,3
humaneval,semdedup,none,none,0.358,0.01,3
mbpp,base,base,base,0.485,0.0,1
mbpp,perplexity-high,code,absolute,0.487,0.002,3
mbpp,perplexity-high,code,proportional,0.503,0.006,3
mbpp,perplexity-high,none,none,0.483,0.016,3
mbpp,perplexity-high,safety,absolute,0.49,0.008,3
mbpp,perplexity-high,safety,proportional,0.505,0.0,3
mbpp,perplexity-low,code,absolute,0.505,0.008,3
mbpp,perplexity-low,code,proportional,0.493,0.009,3
mbpp,perplexity-low,none,none,0.51,0.004,3
mbpp,perplexity-low,safety,absolute,0.502,0.002,3
mbpp,perplexity-low,safety,proportional,0.5,0.015,3
mbpp,semdedup,code,absolute,0.492,0.006,3
mbpp,semdedup,code,proportional,0.483,0.005,3
mbpp,semdedup,none,none,0.487,0.006,3
